,exch,exchange_segment,symbol,token,instrument_type,option_type,strike_price,instrument_name,trading_symbol,formatted_ins_name,expiry_date,lot_size,tick_size,freeze_qty
0,MCX,mcx_fo,SILVER,258642,OPTFUT,CE,74500.0,SILVER,SILVER26JUN24C74500,SILVER 26th JUN 74500 CE,2024-06-26,30.0,0.5,20.0
1,MCX,mcx_fo,SILVER,258643,OPTFUT,PE,74500.0,SILVER,SILVER26JUN24P74500,SILVER 26th JUN 74500 PE,2024-06-26,30.0,0.5,20.0
2,MCX,mcx_fo,SILVER,258644,OPTFUT,CE,74750.0,SILVER,SILVER26JUN24C74750,SILVER 26th JUN 74750 CE,2024-06-26,30.0,0.5,20.0
3,MCX,mcx_fo,SILVER,258645,OPTFUT,PE,74750.0,SILVER,SILVER26JUN24P74750,SILVER 26th JUN 74750 PE,2024-06-26,30.0,0.5,20.0
4,MCX,mcx_fo,SILVER,258646,OPTFUT,CE,75000.0,SILVER,SILVER26JUN24C75000,SILVER 26th JUN 75000 CE,2024-06-26,30.0,0.5,20.0
5,MCX,mcx_fo,SILVER,258647,OPTFUT,PE,75000.0,SILVER,SILVER26JUN24P75000,SILVER 26th JUN 75000 PE,2024-06-26,30.0,0.5,20.0
6,MCX,mcx_fo,SILVER,258648,OPTFUT,CE,75250.0,SILVER,SILVER26JUN24C75250,SILVER 26th JUN 75250 CE,2024-06-26,30.0,0.5,20.0
7,MCX,mcx_fo,SILVER,258649,OPTFUT,PE,75250.0,SILVER,SILVER26JUN24P75250,SILVER 26th JUN 75250 PE,2024-06-26,30.0,0.5,20.0
8,MCX,mcx_fo,SILVER,258650,OPTFUT,CE,75500.0,SILVER,SILVER26JUN24C75500,SILVER 26th JUN 75500 CE,2024-06-26,30.0,0.5,20.0
9,MCX,mcx_fo,SILVER,258651,OPTFUT,PE,75500.0,SILVER,SILVER26JUN24P75500,SILVER 26th JUN 75500 PE,2024-06-26,30.0,0.5,20.0
10,MCX,mcx_fo,SILVER,258652,OPTFUT,CE,75750.0,SILVER,SILVER26JUN24C75750,SILVER 26th JUN 75750 CE,2024-06-26,30.0,0.5,20.0
11,MCX,mcx_fo,SILVER,258653,OPTFUT,PE,75750.0,SILVER,SILVER26JUN24P75750,SILVER 26th JUN 75750 PE,2024-06-26,30.0,0.5,20.0
12,MCX,mcx_fo,SILVER,258654,OPTFUT,CE,76000.0,SILVER,SILVER26JUN24C76000,SILVER 26th JUN 76000 CE,2024-06-26,30.0,0.5,20.0
13,MCX,mcx_fo,SILVER,258655,OPTFUT,PE,76000.0,SILVER,SILVER26JUN24P76000,SILVER 26th JUN 76000 PE,2024-06-26,30.0,0.5,20.0
14,MCX,mcx_fo,SILVER,258656,OPTFUT,CE,76250.0,SILVER,SILVER26JUN24C76250,SILVER 26th JUN 76250 CE,2024-06-26,30.0,0.5,20.0
15,MCX,mcx_fo,SILVER,258657,OPTFUT,PE,76250.0,SILVER,SILVER26JUN24P76250,SILVER 26th JUN 76250 PE,2024-06-26,30.0,0.5,20.0
16,MCX,mcx_fo,SILVER,258658,OPTFUT,CE,76500.0,SILVER,SILVER26JUN24C76500,SILVER 26th JUN 76500 CE,2024-06-26,30.0,0.5,20.0
17,MCX,mcx_fo,SILVER,258659,OPTFUT,PE,76500.0,SILVER,SILVER26JUN24P76500,SILVER 26th JUN 76500 PE,2024-06-26,30.0,0.5,20.0
18,MCX,mcx_fo,SILVER,258660,OPTFUT,CE,76750.0,SILVER,SILVER26JUN24C76750,SILVER 26th JUN 76750 CE,2024-06-26,30.0,0.5,20.0
19,MCX,mcx_fo,SILVER,258661,OPTFUT,PE,76750.0,SILVER,SILVER26JUN24P76750,SILVER 26th JUN 76750 PE,2024-06-26,30.0,0.5,20.0
20,MCX,mcx_fo,SILVER,258662,OPTFUT,CE,77000.0,SILVER,SILVER26JUN24C77000,SILVER 26th JUN 77000 CE,2024-06-26,30.0,0.5,20.0
21,MCX,mcx_fo,SILVER,258663,OPTFUT,PE,77000.0,SILVER,SILVER26JUN24P77000,SILVER 26th JUN 77000 PE,2024-06-26,30.0,0.5,20.0
22,MCX,mcx_fo,SILVER,258664,OPTFUT,CE,77250.0,SILVER,SILVER26JUN24C77250,SILVER 26th JUN 77250 CE,2024-06-26,30.0,0.5,20.0
23,MCX,mcx_fo,SILVER,258665,OPTFUT,PE,77250.0,SILVER,SILVER26JUN24P77250,SILVER 26th JUN 77250 PE,2024-06-26,30.0,0.5,20.0
24,MCX,mcx_fo,SILVER,258666,OPTFUT,CE,77500.0,SILVER,SILVER26JUN24C77500,SILVER 26th JUN 77500 CE,2024-06-26,30.0,0.5,20.0
25,MCX,mcx_fo,SILVER,258667,OPTFUT,PE,77500.0,SILVER,SILVER26JUN24P77500,SILVER 26th JUN 77500 PE,2024-06-26,30.0,0.5,20.0
26,MCX,mcx_fo,SILVER,258668,OPTFUT,CE,77750.0,SILVER,SILVER26JUN24C77750,SILVER 26th JUN 77750 CE,2024-06-26,30.0,0.5,20.0
27,MCX,mcx_fo,SILVER,258669,OPTFUT,PE,77750.0,SILVER,SILVER26JUN24P77750,SILVER 26th JUN 77750 PE,2024-06-26,30.0,0.5,20.0
28,MCX,mcx_fo,SILVER,258670,OPTFUT,CE,78000.0,SILVER,SILVER26JUN24C78000,SILVER 26th JUN 78000 CE,2024-06-26,30.0,0.5,20.0
